,job_title,company,job_location,country,location_type,skills,job_link,employment_type
14,"Assistant Professor in Computer Science - AI, Ml, Data science",GEM Techsoft Private limited,"Hyderabad, Telangana",India,Domestic,"['cd', 'orm', 'bi', 'ann', 'https', 'js', 'go', 'research', 'r', 'excel', 'training', 'cad', 'interpersonal skills', 'os', 'sa', 'ar', 'mentoring', 'ml', 'http', 'ai']",https://www.indeed.co.in/company/GEM-Techsoft-Private-limited/jobs/Assistant-Professor-Computer-Science-6c15fece1faac8ab?fccid=6c5cd5390cb0ebd6&vjs=3,Temporary
15,Sr Data Scientist (NLP),ServiceNow,"Hyderabad, Telangana",India,Domestic,"['marketing', 'communication', 'nas', 'analytical skills', 'orm', 'bi', 'presentation skills', 'cross-functional teams', 'https', 'js', 'go', 'research', 'r', 'excel', 'cap', 'sales', 'cli', 'os', 'sa', 'ar', 'nlp', 'ide', 'python', 'ip', 'nat', 'http', 'rust', 'ai']",https://www.indeed.co.in/rc/clk?jk=5d71a621f155bcaf&fccid=7442885bc0fa7c14&vjs=3,Part-time
16,Lead Data Scientist,Recruit Skills,Remote,India,Domestic,"['coaching', 'leadership', 'big data', 'xai', 'pytorch', 'hadoop', 'orm', 'bi', 'apache spark', 'https', 'js', 'go', 'r', 'excel', 'os', 'sa', 'ar', 'gui', 'python', 'machine learning', 'ml', 'spark', 'ip', 'dl', 'http', 'tensorflow', 'ai']",https://www.indeed.co.in/company/Recruit-Skills/jobs/Lead-Data-Scientist-32d934908668354b?fccid=e43d89adda1df73a&vjs=3,Internship
17,Lead Data Scientist,Anblicks,"Hyderabad, Telangana",India,Domestic,"['clustering', 'communication', 'aws', 'big data', 'deep learning', 'hadoop', 'orm', 'bi', 'tableau', 'sql', 'java', 'rdbms', 'api', 'cassandra', 'https', 'js', 'go', 'nosql', 'dbms', 'r', 'excel', 'azure', 'keras', 'os', 'sa', 'classification', 'ar', 'san', 'nlp', 'python', 'machine learning', 'spark', 'business intelligence', 'http', 'tensorflow', 'artificial intelligence', 'data warehousing']",https://www.indeed.co.in/rc/clk?jk=76f7dfd842ca8221&fccid=e0efd5c38293090b&vjs=3,Full-time
18,Data Analyst - GTM Analytics,Thomson Reuters,"Bengaluru, Karnataka",India,Domestic,"['marketing', 'communication', 'cd', 'aws', 'hadoop', 'orm', 'bi', 'presentation skills', 'tableau', 'sql', 'api', 'ann', 'https', 'js', 'go', 'research', 'data visualization', 'r', 'excel', 'sales', 'diversity and inclusion', 'cli', 'salesforce', 'os', 'sa', 'classification', 'ar', 'ide', 'python', 'machine learning', 'kpi', 'ip', 'dl', 'nat', 'http', 'ai', 'base']",https://www.indeed.co.in/rc/clk?jk=964751e5df2e8352&fccid=f4c6ed63cbcfdc0d&vjs=3,Part-time
19,"Assistant Professor CSE, IT, AI ML, Data science",GEM Techsoft Private limited,"Hyderabad, Telangana",India,Domestic,"['cd', 'orm', 'program development', 'bi', 'ann', 'https', 'js', 'go', 'research', 'r', 'os', 'sa', 'ar', 'ide', 'ml', 'ip', 'http', 'ai', 'base']",https://www.indeed.co.in/company/GEM-Techsoft-Private-limited/jobs/Assistant-Professor-Cse-9d8547037d0f16be?fccid=6c5cd5390cb0ebd6&vjs=3,Full-time
20,Associate Manager - Product Analytics,Tredence,India,India,Domestic,"['communication', 'big data', 'decision making', 'orm', 'bi', 'google analytics', 'tableau', 'sql', 'ann', 'a/b testing', 'gcp', 'https', 'js', 'go', 'data visualization', 'r', 'cap', 'git', 'azure', 'training', 'cli', 'os', 'sa', 'ar', 'data mining', 'ide', 'python', 'machine learning', 'defi', 'ip', 'http', 'rust', 'ai', 'base']",https://www.indeed.co.in/rc/clk?jk=412ba19307fa9beb&fccid=d09878b895240545&vjs=3,Full-time
21,"Staff Machine Learning Engineer ,AI as Services",Visa,"Bengaluru, Karnataka",India,Domestic,"['clustering', 'cd', 'leadership', 'big data', 'prometheus', 'ansible', 'hadoop', 'orm', 'bi', 'business acumen', 'sql', 'java', 'https', 'kubernetes', 'js', 'go', 'regression', 'decision trees', 'r', 'collaboration', 'cap', 'git', 'grafana', 'automation', 'cli', 'os', 'sa', 'ar', 'data mining', 'ide', 'statistical modeling', 'ci/cd', 'python', 'machine learning', 'spark', 'ip', 'docker', 'nat', 'http', 'jenkins', 'ai', 'attention to detail', 'base', 'redis']",https://www.indeed.co.in/rc/clk?jk=cb930c7796039a23&fccid=a3f737e511d9fc8c&vjs=3,Temporary
22,Analytics & Reporting Specialist,Nokia,"Chennai, Tamil Nadu",India,Domestic,"['communication', 'leadership', 'power bi', 'performance management', 'orm', 'bi', 'sql', 'https', 'js', 'go', 'r', 'collaboration', 'excel', 'cap', 'git', 'automation', 'os', 'sa', 'ar', 'mentoring', 'ide', 'kpi', 'ip', 'dl', 'nat', 'http', 'ai']",https://www.indeed.co.in/rc/clk?jk=ad32878674fb31b8&fccid=3444e7c94299ba32&vjs=3,Contract
23,Member Of Technical Staff -Machine Learning,ThoughtSpot,"Bengaluru, Karnataka",India,Domestic,"['nas', 'aws', 'orm', 'bi', 'sql', 'java', 'saas', 'https', 'js', 'go', 'vr', 'research', 'r', 'excel', 'cap', 'serverless', 'os', 'sa', 'ar', 'critical thinking', 'ide', 'python', 'elasticsearch', 'machine learning', 'ml', 'spark', 'business intelligence', 'ip', 'dl', 'nat', 'http', 'ai', 'base']",https://www.indeed.co.in/rc/clk?jk=28a3f509279389ea&fccid=076e688f7e0c7c37&vjs=3,Full-time
24,Analytics Manager - Data Science,Accenture,"Noida, Uttar Pradesh",India,Domestic,"['decision making', 'security', 'orm', 'bi', 'https', 'js', 'go', 'research', 'r', 'collaboration', 'cap', 'git', 'interpersonal skills', 'cli', 'os', 'sa', 'ar', 'ide', 'client relations', 'python', 'machine learning', 'ip', 'statistical analysis', 'nat', 'http', 'ai', 'artificial intelligence']",https://www.indeed.co.in/rc/clk?jk=98f6e013cb27d629&fccid=a4e4e2eaf26690c9&vjs=3,Full-time
25,BIG DATA ( ANALYTICS AND DATA SCIENCE ) - BIG DATA - SNOWFLAKE,Zensar Technologies,"Pune, Maharashtra",India,Domestic,"['cd', 'aws', 'big data', 'etl', 'power bi', 'unix', 'orm', 'bi', 'tableau', 'sql', 'https', 'js', 'go', 'data visualization', 'r', 'azure', 'os', 'sa', 'ar', 'python', 'data visualization tools', 'ip', 'http', 'ai', 'data warehousing']",https://www.indeed.co.in/rc/clk?jk=fe69541c35343f9f&fccid=e223a70f4b467dcd&vjs=3,Part-time
26,Senior Associate - Business Analysis,Capital One,"Bengaluru, Karnataka",India,Domestic,"['risk management', 'clustering', 'communication', 'aws', 'analytical skills', 'data analysis', 'deep learning', 'orm', 'bi', 'sql', 'api', 'ann', 'https', 'js', 'go', 'regression', 'decision trees', 'research', 'r', 'excel', 'cap', 'training', 'diversity and inclusion', 'interpersonal skills', 'os', 'sa', 'classification', 'ar', 'san', 'ide', 'statistical modeling', 'python', 'machine learning', 'defi', 'bdd', 'ip', 'performance evaluation', 'sla', 'nat', 'http', 'rust', 'ai', 'predictive modeling', 'attention to detail', 'base']",https://www.indeed.co.in/rc/clk?jk=a09f859fb4525185&fccid=b85c5070c3d3d8c8&vjs=3,Part-time
27,USPBA Digital Analytics C11,Citi,"Bengaluru, Karnataka",India,Domestic,"['marketing', 'communication', 'cd', 'big data', 'analytical skills', 'data analysis', 'deep learning', 'hadoop', 'orm', 'bi', 'sql', 'hypothesis testing', 'influencing', 'ann', 'https', 'digital analytics', 'js', 'go', 'r', 'excel', 'git', 'training', 'interpersonal skills', 'cli', 'os', 'sa', 'ar', 'gui', 'nlp', 'ide', 'natural language processing', 'customer retention', 'project management', 'python', 'machine learning', 'spark', 'ip', 'customer acquisition', 'sla', 'nat', 'http', 'ai', 'predictive modeling']",https://www.indeed.co.in/rc/clk?jk=841d8704dedfad56&fccid=5bcd1ef0a7f4fb99&vjs=3,Full-time
28,Data Scientist_NLP_3-9 years,Fractal Analytics,"Bengaluru, Karnataka",India,Domestic,"['stakeholder management', 'coaching', 'cd', 'leadership', 'pytorch', 'deep learning', 'orm', 'tableau', 'business acumen', 'sql', 'supervised learning', 'ann', 'https', 'js', 'go', 'r', 'excel', 'sales', 'training', 'cli', 'keras', 'os', 'sa', 'ar', 'nlp', 'ide', 'client relations', 'project management', 'python', 'machine learning', 'ml', 'ip', 'statistical analysis', 'nat', 'http', 'tensorflow', 'ai']",https://www.indeed.co.in/rc/clk?jk=bbe5828d8f719050&fccid=82a5852c691fe3de&vjs=3,Part-time
29,Associate Manager Data Science,MSD,"Pune, Maharashtra",India,Domestic,"['marketing', 'communication', 'empathy', 'agile', 'aws', 'decision making', 'high performance computing', 'orm', 'bi', 'sql', 'java', 'cv', 'https', 'digital analytics', 'js', 'go', 'biostatistics', 'research', 'data visualization', 'r', 'collaboration', 'cap', 'sales', 'git', 'os', 'sa', 'ar', 'gui', 'javascript', 'ide', 'python', 'machine learning', 'ml', 'defi', 'scrum', 'ip', 'statistical analysis', 'nat', 'creativity', 'http', 'business development', 'ai', 'descriptive statistics']",https://www.indeed.co.in/rc/clk?jk=fcc248aad08c0057&fccid=3c0bf511b4a29309&vjs=3,Contract
30,Con/Sr.con- Data Scientist-Mumbai- Immediate Joiners,EY,"Chennai, Tamil Nadu",India,Domestic,"['communication', 'agile', 'orm', 'bi', 'api', 'ann', 'https', 'js', 'go', 'r', 'excel', 'cap', 'git', 'training', 'cli', 'os', 'sa', 'ar', 'ide', 'python', 'ip', 'regulatory compliance', 'sla', 'nat', 'http', 'rust', 'ai']",https://www.indeed.co.in/rc/clk?jk=f72acb5562c166ba&fccid=1544766d4c2915b0&vjs=3,Internship
31,Lead Data Scientist,Siemens,"Bengaluru, Karnataka",India,Domestic,"['cd', 'agile', 'siem', 'pytorch', 'deep learning', 'orm', 'bi', 'pandas', 'version control system', 'cv', 'numpy', 'https', 'js', 'go', 'regression', 'research', 'r', 'computer vision', 'cap', 'git', 'cli', 'keras', 'os', 'sa', 'ar', 'version control', 'ide', 'python', 'machine learning', 'ml', 'scrum', 'ip', 'docker', 'nat', 'http', 'rust', 'tensorflow', 'iot', 'ai', 'scipy', 'base']",https://www.indeed.co.in/rc/clk?jk=edacd95c5dfd11d3&fccid=ea6bb53f0b18b8f2&vjs=3,Part-time
32,Data Scientist,AIEnterprise,"Bengaluru, Karnataka",India,Domestic,"['apache spark', 'https', 'js', 'go', 'r', 'feature engineering', 'os', 'sa', 'ar', 'model evaluation', 'nlp', 'python', 'ml', 'spark', 'ip', 'nat', 'http', 'ai']",https://www.indeed.co.in/rc/clk?jk=7c1d8de2025a7974&fccid=89fc9bfba1bf23b7&vjs=3,Full-time
33,Data Science Engineer,Emerson,"Pune, Maharashtra",India,Domestic,"['clustering', 'communication', 'cd', 'agile', 'aws', 'microservices', 'big data', 'time series analysis', 'reinforcement learning', 'data analysis', 'orm', 'bi', 'sql', 'pandas', 'supervised learning', 'api', 'numpy', 'xml', 'https', 'kubernetes', 'js', 'go', 'decision trees', 'r', 'excel', 'git', 'azure', 'keras', 'os', 'sa', 'classification', 'ar', 'gui', 'nlp', 'ide', 'natural language processing', 'neural networks', 'ci/cd', 'python', 'machine learning', 'ml', 'ip', 'dl', 'docker', 'nat', 'http', 'tensorflow', 'jenkins', 'ai', 'base']",https://www.indeed.co.in/rc/clk?jk=1336f2ba99b7aa51&fccid=c3d73a6fd53e8543&vjs=3,Contract
34,Staff Data Scientist,GE Healthcare,"Bengaluru, Karnataka",India,Domestic,"['communication', 'leadership', 'deep learning', 'orm', 'bi', 'influencing', 'mr', 'ann', 'https', 'js', 'c++', 'go', 'research', 'r', 'computer vision', 'collaboration', 'git', 'cli', 'os', 'sa', 'classification', 'ar', 'monitoring', 'critical thinking', 'ide', 'natural language processing', 'python', 'machine learning', 'ip', 'nat', 'http', 'rust', 'iot', 'ai', 'artificial intelligence']",https://www.indeed.co.in/rc/clk?jk=df9d1e2db4763607&fccid=65b5f2aba4dbd31f&vjs=3,Part-time
35,Associate Data scientist,Shell,"Chennai, Tamil Nadu",India,Domestic,"['cd', 'orm', 'bi', 'https', 'js', 'go', 'r', 'os', 'sa', 'ar', 'gui', 'ide', 'defi', 'ip', 'nat', 'http', 'ai']",https://www.indeed.co.in/rc/clk?jk=de3415a00b0b214e&fccid=167aa4ca2fe7d8e6&vjs=3,Internship
36,Data Scientist,Zensar Technologies,"Bengaluru, Karnataka",India,Domestic,"['risk management', 'cd', 'big data', 'orm', 'bi', 'sql', 'https', 'js', 'go', 'research', 'r', 'training', 'os', 'sa', 'ar', 'data mining', 'ide', 'neural networks', 'business intelligence', 'ip', 'statistical analysis', 'nat', 'http', 'ai', 'data warehousing', 'base']",https://www.indeed.co.in/rc/clk?jk=ee885721d36d2857&fccid=e223a70f4b467dcd&vjs=3,Part-time
37,Data Science Specialist,Diageo,"Bengaluru, Karnataka",India,Domestic,"['cd', 'https', 'js', 'go', 'r', 'os', 'sa', 'ar', 'ip', 'nat', 'http']",https://www.indeed.co.in/rc/clk?jk=648871636c3c417c&fccid=942d238ea16c5cd0&vjs=3,Contract
38,"Data Analytics Instructor Lead- Full Time, Temporary",Adecco Group,Uttar Pradesh,India,Domestic,"['marketing', 'power bi', 'decision making', 'orm', 'bi', 'tableau', 'sql', 'https', 'js', 'go', 'r', 'excel', 'product management', 'git', 'training', 'cad', 'os', 'sa', 'ar', 'san', 'gui', 'facilitation', 'ide', 'python', 'ip', 'nat', 'http', 'ai', 'base']",https://www.indeed.co.in/rc/clk?jk=faa7fcf2e9ea8607&fccid=0d511cbaa452dbfb&vjs=3,Contract
39,"Big Data Engineer, Data Modeling",data.ai,"Hyderabad, Telangana",India,Domestic,"['communication', 'agile', 'aws', 'big data', 'data analysis', 'hadoop', 'orm', 'bi', 'pyspark', 'pandas', 'https', 'linux', 'js', 'go', 'r', 'excel', 'git', 'automation', 'cli', 'os', 'ar', 'data mining', 'data pipeline', 'ide', 'python', 'machine learning', 'spark', 'ip', 'nat', 'http', 'rust', 'ai', 'artificial intelligence', 'base']",https://www.indeed.co.in/rc/clk?jk=9678adc7ebe874e4&fccid=6a918ba2c69a0390&vjs=3,Part-time
40,Technical Product Manager: Reporting & BI,Accurate Background,"Hyderabad, Telangana",India,Domestic,"['communication', 'leadership', 'etl', 'orm', 'bi', 'ann', 'https', 'js', 'go', 'data visualization', 'r', 'excel', 'cap', 'product management', 'automation', 'cli', 'os', 'sa', 'ar', 'gui', 'monitoring', 'data mining', 'ide', 'business intelligence', 'ip', 'sla', 'http', 'rust', 'ai', 'data governance', 'attention to detail', 'base']",https://www.indeed.co.in/rc/clk?jk=78a1aa98c892a9a5&fccid=02d66caeebd0337f&vjs=3,Temporary
41,Engineer / Sr.Engineer - AWS Analytics,Aspire Systems,"Chennai, Tamil Nadu",India,Domestic,"['aws', 'power bi', 'deep learning', 'orm', 'bi', 'tableau', 'sql', 'https', 'js', 'go', 'data visualization', 'r', 'cap', 'git', 'training', 'os', 'sa', 'ar', 'ide', 'python', 'machine learning', 'data visualization tools', 'ip', 'dl', 'nat', 'http', 'rust', 'ai', 'base']",https://www.indeed.co.in/rc/clk?jk=c38b0a0c14c33b00&fccid=d39a1724952b0584&vjs=3,Internship
42,Principal Data Scientist,Agilon Health,India,India,Domestic,"['cd', 'agile', 'aws', 'deep learning', 'orm', 'mlops', 'sql', 'https', 'js', 'go', 'r', 'training', 'cli', 'os', 'sa', 'ar', 'ide', 'python', 'machine learning', 'ml', 'scrum', 'ip', 'http', 'ai', 'base']",https://www.indeed.co.in/rc/clk?jk=1e135500d789b374&fccid=5cd649df8329d3dc&vjs=3,Contract
43,Data Science Consultant,IBM,"Bengaluru, Karnataka",India,Domestic,"['cd', 'blockchain', 'aws', 'security', 'orm', 'bi', 'scripting', 'google cloud platform', 'hybrid cloud', 'software development life cycle', 'sql', 'java', 'amazon web services', 'saas', 'api', 'gcp', 'https', 'kubernetes', 'js', 'go', 'r', 'cap', 'git', 'azure', 'cli', 'os', 'sa', 'ar', 'gui', 'monitoring', 'ide', 'quantum computing', 'ci/cd', 'python', 'defi', 'ip', 'docker', 'nat', 'http', 'rust', 'ai', 'artificial intelligence', 'base']",https://www.indeed.co.in/rc/clk?jk=6d6288fafa4a4a21&fccid=de71a49b535e21cb&vjs=3,Part-time
44,Machine Learning Data Engineer,Pattern,"Baner, Pune, Maharashtra",India,Domestic,"['nas', 'aws', 'orm', 'bi', 'sql', 'https', 'js', 'go', 'r', 'cap', 'slo', 'os', 'sa', 'ar', 'version control', 'data pipeline', 'machine learning', 'ml', 'ip', 'dl', 'http', 'ai']",https://www.indeed.co.in/rc/clk?jk=5bfb57086151ad92&fccid=d21211925975a32a&vjs=3,Temporary
45,Sr. Data Scientist,Bosch Group,"Bengaluru, Karnataka",India,Domestic,"['clustering', 'communication', 'aws', 'microservices', 'pytorch', 'deep learning', 'orm', 'bi', 'mlops', 'support vector machines', 'cv', 'gcp', 'https', 'js', 'go', 'regression', 'vr', 'decision trees', 'data visualization', 'r', 'cap', 'azure', 'keras', 'os', 'sa', 'classification', 'svm', 'ar', 'data mining', 'nlp', 'ide', 'statistical modeling', 'python', 'machine learning', 'vm', 'ml', 'defi', 'ip', 'sla', 'dl', 'nat', 'http', 'tensorflow', 'ai']",https://www.indeed.co.in/rc/clk?jk=e8503af8e5af6eb2&fccid=a2faf1301ac6ad4b&vjs=3,Temporary
46,Data Science Strategic Analytics-Associate,"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",India,Domestic,"['marketing', 'decision making', 'orm', 'bi', 'google analytics', 'tableau', 'sql', 'pyspark', 'pandas', 'data imputation', 'numpy', 'a/b testing', 'https', 'js', 'go', 'regression', 'r', 'diversity and inclusion', 'cli', 'os', 'sa', 'svm', 'ar', 'data mining', 'ide', 'neural networks', 'python', 'machine learning', 'vm', 'defi', 'bdd', 'spark', 'business intelligence', 'ip', 'nat', 'creativity', 'http', 'tensorflow', 'ai', 'base']",https://www.indeed.co.in/rc/clk?jk=b33034317a91f580&fccid=c46d0116f6e69eae&vjs=3,Contract
47,Data Scientist,infoanalytica,"Ahmedabad, Gujarat",India,Domestic,"['clustering', 'marketing', 'communication', 'leadership', 'hadoop', 'orm', 'bi', 'tableau', 'sql', 'cassandra', 'https', 'js', 'go', 'nosql', 'data visualization', 'r', 'collaboration', 'excel', 'training', 'cli', 'os', 'sa', 'ar', 'san', 'data mining', 'ide', 'nosql databases', 'neural networks', 'python', 'machine learning', 'business intelligence', 'ip', 'statistical analysis', 'nat', 'http', 'rust', 'ai', 'artificial neural networks', 'attention to detail', 'base']",https://www.indeed.co.in/rc/clk?jk=df5937064fb78fc8&fccid=9d18b54fe7e68641&vjs=3,Part-time
48,Data Scientist,Shell,"Chennai, Tamil Nadu",India,Domestic,"['stakeholder management', 'orm', 'bi', 'https', 'js', 'go', 'research', 'r', 'cad', 'os', 'sa', 'ar', 'gui', 'ide', 'ip', 'nat', 'http', 'ai']",https://www.indeed.co.in/rc/clk?jk=0fad7f021efa2f93&fccid=167aa4ca2fe7d8e6&vjs=3,Temporary
49,Machine Learning Analyst,XL Catlin,"Gurgaon, Haryana",India,Domestic,"['communication', 'agile', 'data analysis', 'exploratory data analysis', 'orm', 'bi', 'api', 'https', 'js', 'go', 'regression', 'decision trees', 'r', 'excel', 'cap', 'azure', 'cli', 'os', 'sa', 'ar', 'data mining', 'ide', 'python', 'machine learning', 'ip', 'dl', 'nat', 'http', 'ai']",https://www.indeed.co.in/rc/clk?jk=54d8f72bdb7a2d4a&fccid=29e4aa7e4c4a93db&vjs=3,Part-time
